city,freq,income
1,52,3
1,12,5
1,52,3
1,12,2
1,52,2
1,52,2
1,52,4
1,0,2
1,12,4
1,52,1
1,12,2
1,52,3
1,52,3
1,52,2
1,12,3
1,12,5
0,12,2
1,12,5
1,12,5
1,12,3
1,12,2
1,12,4
1,12,1
0,52,2
1,12,2
0,12,1
1,12,2
1,12,1
1,0,2
1,52,3
1,12,3
1,12,3
1,12,3
1,365,2
1,52,5
1,12,4
1,12,5
1,12,2
1,12,5
1,12,3
1,365,3
1,12,1
1,52,2
1,12,2
1,0,2
1,12,3
1,12,4
1,12,2
1,0,5
0,0,5
1,12,1
1,52,4
0,12,2
1,52,2
1,12,3
1,365,5
1,12,3
0,52,2
1,12,4
1,1,3
1,12,5
1,12,3
1,12,1
1,365,2
1,12,4
1,12,3
1,365,4
1,12,5
1,12,5
1,52,4
1,12,2
1,52,5
1,12,3
1,12,2
0,12,5
1,365,3
0,12,3
1,12,3
1,365,5
1,1,4
1,52,5
1,12,3
1,12,5
1,52,2
1,12,2
1,12,3
1,12,4
1,12,1
1,52,3
1,12,3
1,12,3
1,0,5
1,12,2
1,1,3
1,52,4
1,12,2
1,52,2
1,52,3
1,52,3
1,12,3
1,52,1
1,52,3
1,12,2
1,52,2
1,52,3
1,12,2
1,12,3
1,52,4
1,52,5
1,12,3
1,52,5
1,12,3
1,12,4
1,1,2
1,12,2
1,12,5
1,12,2
1,52,5
1,0,2
1,1,3
1,52,3
1,52,4
1,12,2
1,52,3
1,52,1
1,0,3
1,52,1
1,52,3
1,52,3
1,12,2
1,12,5
0,12,2
1,52,3
1,365,3
1,12,2
1,52,2
1,52,3
1,12,5
1,12,2
1,52,4
1,0,2
1,52,3
1,52,5
1,52,4
1,12,5
1,12,3
1,12,4
1,12,3
1,52,5
1,12,5
1,12,4
1,52,5
1,52,2
1,52,5
1,12,3
1,12,3
1,12,5
1,365,2
1,12,4
0,12,1
1,12,2
1,52,4
1,12,1
1,52,2
1,12,5
1,52,1
1,12,5
1,52,2
1,52,4
1,52,5
1,52,5
1,12,2
1,12,3
1,1,2
0,12,3
1,52,3
1,12,3
1,52,2
1,12,3
1,52,2
1,,3
1,52,3
1,52,4
1,12,2
1,12,3
1,52,5
1,12,3
1,12,3
1,52,4
1,52,5
1,52,5
1,12,5
1,12,4
0,12,2
1,12,5
1,12,2
1,365,4
1,12,1
1,52,2
1,52,2
1,12,5
1,12,5
0,12,5
1,52,5
1,12,3
1,52,3
1,52,3
1,52,5
1,52,4
1,12,3
1,52,2
1,12,1
1,52,5
1,12,2
1,12,2
1,12,2
1,12,2
1,12,2
1,12,3
1,12,5
1,52,1
1,52,4
1,52,3
1,12,4
0,12,3
1,12,3
0,12,2
1,365,3
1,12,1
1,12,1
1,12,5
1,12,1
1,12,3
1,52,5
0,12,2
1,52,3
1,12,2
1,52,3
1,12,2
1,12,2
1,52,2
1,52,5
1,52,4
1,12,2
1,12,2
1,12,4
1,52,5
1,52,5
1,12,3
0,12,3
1,52,4
1,12,4
1,12,5
1,52,3
1,12,1
1,12,3
1,52,2
1,52,4
1,12,5
1,52,4
1,12,3
1,12,5
1,52,4
1,12,2
1,52,3
1,12,3
1,12,3
0,12,5
1,12,2
1,12,4
1,12,2
1,12,4
1,12,5
1,12,5
1,12,5
1,12,3
1,52,5
1,12,4
1,52,5
1,52,5
1,52,5
1,52,3
1,52,5
1,52,2
1,52,3
1,52,3
1,12,4
1,12,3
1,52,3
1,365,3
0,52,5
0,52,3
1,12,1
1,52,4
0,12,5
0,52,2
1,52,5
1,12,2
1,12,1
1,12,5
1,12,3
1,52,5
1,12,2
1,12,5
1,12,3
1,52,5
0,12,2
1,12,4
1,52,5
0,12,4
1,12,5
1,12,3
1,52,3
1,12,4
0,52,5
1,12,4
0,52,4
1,12,3
1,52,5
1,12,5
1,365,5
0,12,3
0,52,3
