Qs,Unimportant,Slightly Important,Moderately Important,Important,Very Important
Website design,4.79,19.49,23.32,39.3,13.1
Product information,0.96,5.43,7.03,29.39,57.19
Product comments,0.32,7.03,6.71,25.88,60.06
Product rating,0.64,7.35,8.31,33.87,49.84
Product pictures,0.32,6.39,7.35,24.6,61.34
Variety of size/colour,2.88,11.82,21.41,32.91,30.99
Quality of the product,0.32,5.11,2.88,20.13,71.57
Return Guarantees,2.88,11.5,12.78,28.75,44.09
Recommondations about that webs,3.19,9.9,25.24,33.87,27.8
Product comparison feature,10.22,23.96,29.71,22.68,13.42
Different sellers offers,7.35,21.09,26.84,29.39,15.34
High online security system,1.92,9.58,10.86,25.56,52.08
The name value of the firm,5.11,13.42,22.68,28.75,30.03
Special discount coupon,7.67,16.29,20.77,26.2,29.07
Instant discount messages/mails,26.52,22.04,23,17.89,10.54
