Gender,Age,Education status,Faculty,Major,City of residence,Birth place,Work status,Relationship,Accommodation,Income,Online purchase,Online purchase freq,Payment method,Website type,Reasons,Mostly prefered,Website design,Product information,Product comments,Product rating,Product pictures,Variety of size/colour,Quality of the product,Return Guarantees,Recommondations about that webs,Product comparison feature,Different sellers offers,High online security system,The name value of the firm,Special discount coupon,Instant discount messages/mails,Most not to prefer,Reasons not prefer,Collecting info,Decision support systems,Bad experience,Bad experience info,Returned a product,Reason for returning products,"Satisfied brand,  prefer again",Recommend satisfied brand,Why don’t you shop online?
Female ,20 - 24,Bachelor's Degree ,Engineering ,Mechanical Engineering,Ankara,Antalya,Not working ,In a relationship ,Student House ,2501 TL - 4000 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,"Coupons and discounts , Reviews from other customers (","Cosmetic Products , Clothing , Food",Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Important ,Very Important ,Very Important ,Important ,Important ,Very Important ,Very Important ,Moderately Important ,Unimportant ,"Electronic Products , Outdoor, Furniture",I want to see the product before buying. ,Yes,Yes,Yes,,,Product different from what I ordered ,Yes,Yes,
Male ,Under 19 ,Bachelor's Degree ,Engineering ,Industrial Engineering,Ankara,Izmir,Not working ,Single ,College Dorm ,More than 5500 TL ,Yes,Once a month ,Credit card ,Individual brand websites  ,"Reviews from other customers , Lots of likes or good comment","Clothing , Accessory, Stationary ",Moderately Important ,Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Moderately Important ,Important ,Important ,Unimportant ,"Sport , Outdoor, Building Supply, ","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,Yes,"No delivery / missing product , Problems about the product like damaged, fake, defective etc. ed, fake, defective etc.",Yes,"Defective product , Damaged product , Wrong order ",Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Education ,Elementary Science Education,Ankara,Ankara,Not working ,In a relationship ,College Dorm ,2501 TL - 4000 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,"Coupons and discounts , Easy returns policy ","Cosmetic Products , Clothing ",Very Important ,Very Important ,Very Important ,Important ,Very Important ,Very Important ,Very Important ,Very Important ,Moderately Important ,Very Important ,Important ,Very Important ,Very Important ,Very Important ,Important ,"Outdoor , Building Supply, Furniture ",I would like to try on before buying.,Yes,No,Yes,No delivery / missing product ,Yes,Damaged product ,Yes,Yes,
Male ,Under 19 ,Bachelor's Degree ,Engineering ,Industrial Engineering,Ankara,Izmir,Not working ,Single ,College Dorm ,1001 TL - 2500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,"Free delivery, Quick and easy online checkout process ","Clothing , Shoes and Bags , Accessory, Hobb",Moderately Important ,Important ,Slightly Important ,Moderately Important ,Very Important ,Very Important ,Very Important ,Unimportant ,Moderately Important ,Moderately Important ,Important ,Important ,Slightly Important ,Unimportant ,Unimportant ,None,I want to see the product before buying. ,Yes,Yes,Yes,No delivery / missing product ,No,I have not returned my package before ,Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Arts and Sciences,Biology,Izmir,Istanbul,Not working ,Single ,House - Rent ,1001 TL - 2500 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,"Free delivery, Lots of likes or good comments on social media","Electronic Products , Clothing , Accessory, Hobby ",Very Important ,Very Important ,Important ,Important ,Very Important ,Moderately Important ,Very Important ,Slightly Important ,Moderately Important ,Unimportant ,Very Important ,Very Important ,Very Important ,Slightly Important ,Moderately Important ,"Shoes and Bags , Sport , Baby Care , Build","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,Yes,Late product delivery,Yes,Defective product ,Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Architecture ,Architecture,Istanbul,Istanbul,Not working ,Single ,Family House ,1001 TL - 2500 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,Coupons and discounts ,"Electronic Products , Clothing , Accessory, Stationary ",Important ,Moderately Important ,Slightly Important ,Moderately Important ,Important ,Moderately Important ,Very Important ,Important ,Slightly Important ,Slightly Important ,Slightly Important ,Important ,Important ,Important ,Moderately Important ,"Building Supply, Furniture ",I would like to try on before buying.,Yes,Yes,Yes,"Late product delivery, Problems about the product like damaged, fake, defective etc. ed, fake, defective etc.",Yes,"Defective product , Damaged product , Product different from what I ordered ",Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Arts and Sciences,Statistics,Ankara,Manisa,Not working ,In a relationship ,College Dorm ,4001 TL - 5500 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,Lots of likes or good comments on social media ,"Clothing , Shoes and Bags , Sport , Accessory ",Moderately Important ,Very Important ,Very Important ,Important ,Very Important ,Important ,Very Important ,Very Important ,Very Important ,Moderately Important ,Moderately Important ,Very Important ,Important ,Moderately Important ,Slightly Important ,"Clothing , Shoes and Bags , Sport , Accessory ","I would like to try on before buying., I want to see the product before buying. ",Yes,No,Yes,"Problems about the product like damaged, fake, defective etc. ",Yes,"Defective product , Damaged product , Product different from what I ordered ",Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Economic and Administrative Sciences ,International Relations,Istanbul,Istanbul,Not working ,Single ,Student House ,1001 TL - 2500 TL,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I would like to try on before buying.
Female ,20 - 24,Bachelor's Degree ,Arts and Sciences,Statistics,Ankara,Istanbul,Not working ,In a relationship ,Student House ,4001 TL - 5500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,"Free delivery, Coupons and discounts ","Clothing , Shoes and Bags , Accessory, Hobb",Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Moderately Important ,Important ,Moderately Important ,Moderately Important ,Very Important ,Very Important ,Moderately Important ,Unimportant ,"Electronic Products , Cosmetic Products , Furniture",I want to see the product before buying. ,Yes,Yes,Yes,"Late product delivery, Problems about the product like damaged, fake, defective etc. ",Yes,"Defective product , Damaged product , Refuse to buy ",Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Arts and Sciences,Statistics,Ankara,Ankara,Not working ,Single ,Family House ,Less than 1000 TL ,Yes,Once a week ,Credit card ,Online marketplace websites ,"Free delivery, Coupons and discounts ","Electronic Products , Cosmetic Products , Clothing ",Important ,Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Very Important ,Very Important ,Slightly Important ,Slightly Important ,Important ,Moderately Important ,Moderately Important ,Slightly Important ,Building Supply,I do not trust websites. ,Yes,Yes,Yes,"Late product delivery, Problems about the product like damaged, fake, defective etc. ",Yes,"Defective product , Damaged product , Product different from what I ordered ",Yes,Yes,
